school_name,urn,borough,lsoa_code,lsoa_name,lon,lat,primary_secondary,school_type,admissions_type,gender,denomination,num_pupils,num_boys,num_girls,boy_girl_r,pupils_per_teacher,pct_esl,pct_fsm,pct_attainment,pct_absences,pct_unaut_absence,mean_distance,income_score,employment_score,crime_score,education_skills_score,health_score,ofsted
Oak Farm Junior School,102431,Hillingdon,E01002451,Hillingdon 014B,-0.447857926,51.54403103,Primary,NA,NA,Mixed,NA,358,180,175,1,21.4,NA,0.095,0.78,NA,NA,NA,0.051,0.045,-0.223,8.891,-0.789,2
Grange Park Junior School,102432,Hillingdon,E01002426,Hillingdon 021F,-0.417566247,51.52677468,Primary,Foundation school,Not applicable,Mixed,No religious character,376,200,175,1.1,19.8,0.836,0.258,0.69,0.0377198,0.010016,0.920029113,0.122,0.085,0.054,15.623,-0.479,3
Grange Park Infant and Nursery School,102433,Hillingdon,E01002426,Hillingdon 021F,-0.417566247,51.52677468,Primary,Foundation school,Not applicable,Mixed,No religious character,415,210,205,1,20.4,0.757,0.226,NA,0.065679,0.0157889,NA,0.122,0.085,0.054,15.623,-0.479,2
Hillside Infant School,102434,Hillingdon,E01002482,Hillingdon 001E,-0.410726125,51.6076407,Primary,Foundation school,Not applicable,Mixed,No religious character,239,125,115,1.1,18.7,0.636,0.075,NA,0.0499928,0.0073019,NA,0.026,0.026,-0.641,0.862,-1.027,2
Hillside Junior School,102435,Hillingdon,E01002482,Hillingdon 001E,-0.410726125,51.6076407,Primary,Foundation school,Not applicable,Mixed,No religious character,232,115,115,1,22.1,0.661,0.086,0.7,0.0518639,0.0116334,1.664815006,0.026,0.026,-0.641,0.862,-1.027,2
St Andrew's CofE Primary School,102438,Hillingdon,E01033725,Hillingdon 015F,-0.474858305,51.5426139,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,235,125,110,1.1,22.6,0.332,0.048,0.83,0.068235,0.0166293,2.173373525,0.1,0.083,0.563,12.681,-0.034,2
Hayes Park School,102439,Hillingdon,E01002422,Hillingdon 018A,-0.42096046,51.52867282,Primary,Foundation school,Not applicable,Mixed,No religious character,721,360,360,1,18.8,0.622,0.08,0.73,0.0557132,0.0124111,0.826583256,0.094,0.076,0.17,15.145,-0.418,2
Abbotsfield School,102449,Hillingdon,E01002456,Hillingdon 017C,-0.446931575,51.53736443,Secondary,Foundation school,Non-selective,Boys,No religious character,496,495,0,0,13.7,0.344,0.116,0.4,0.103454,0.0460695,2.780130427,0.121,0.077,0.122,18.143,0.155,3
Harlington School,102451,Hillingdon,E01002488,Hillingdon 030B,-0.436486832,51.49711135,Secondary,Foundation school,Non-selective,Mixed,No religious character,1046,530,515,1,13.3,0.779,0.263,0.5,0.0963542,0.0403487,1.799808166,0.107,0.081,0.311,18.231,-0.548,2
Belmont Primary School,102470,Hounslow,E01002693,Hounslow 029D,-0.262881811,51.49340037,Primary,Community school,Not applicable,Mixed,No religious character,463,225,235,1,20.4,0.688,0.095,0.95,0.0405424,0.0069475,0.893885635,0.105,0.055,0.624,1.866,-0.306,1
Cardinal Road Infant and Nursery School,102471,Hounslow,E01002612,Hounslow 024E,-0.40728847,51.44653143,Primary,Community school,Not applicable,Mixed,No religious character,337,180,160,1.1,17.3,0.613,0.236,NA,0.0450326,0.0096903,NA,0.18,0.092,1.02,21.154,-0.113,2
Cavendish Primary School,102472,Hounslow,E01002572,Hounslow 007B,-0.257341652,51.48152881,Primary,Community school,Not applicable,Mixed,No religious character,223,110,115,1,18,0.455,0.241,0.7,0.0588818,0.0230174,0.827478212,0.215,0.138,0.268,17.944,0.552,2
Feltham Hill Infant and Nursery School,102484,Hounslow,E01002601,Hounslow 027B,-0.423582714,51.43930608,Primary,Community school,Not applicable,Mixed,No religious character,446,220,230,1,20.6,0.634,0.19,NA,0.0518638,0.0262995,NA,0.106,0.054,0.198,16.392,-0.255,3
Grove Park Primary School,102485,Hounslow,E01002576,Hounslow 008A,-0.271182062,51.48457527,Primary,Community school,Not applicable,Mixed,No religious character,314,170,145,1.2,19.6,0.365,0.162,0.9,0.0489387,0.0083327,0.945613016,0.143,0.106,0.551,5.936,-0.092,1
Victoria Junior School,102486,Hounslow,E01002612,Hounslow 024E,-0.408328452,51.44559239,Primary,Community school,Not applicable,Mixed,No religious character,335,175,160,1.1,18.4,0.484,0.203,0.59,0.0605632,0.0167883,0.946610029,0.18,0.092,1.02,21.154,-0.113,3
Hounslow Heath Junior School,102489,Hounslow,E01002660,Hounslow 016C,-0.383604189,51.46724028,Primary,NA,NA,Mixed,NA,527,270,255,1.1,20.6,NA,0.12,0.78,NA,NA,NA,0.128,0.065,0.465,9.787,-0.612,3
Hounslow Heath Infant and Nursery School,102490,Hounslow,E01002660,Hounslow 016C,-0.386107134,51.46730175,Primary,NA,NA,Mixed,NA,659,340,320,1.1,18.7,NA,0.099,NA,NA,NA,NA,0.128,0.065,0.465,9.787,-0.612,1
Hounslow Town Primary School,102491,Hounslow,E01002642,Hounslow 015A,-0.35353022,51.46998708,Primary,Community school,Not applicable,Mixed,No religious character,800,400,400,1,17.9,0.752,0.148,0.62,0.0592324,0.0154337,1.021911982,0.105,0.061,0.661,5.868,-0.637,2
Isleworth Town Primary School,102492,Hounslow,E01002681,Hounslow 014C,-0.329166313,51.47359017,Primary,Community school,Not applicable,Mixed,No religious character,748,395,355,1.1,24,0.414,0.174,0.79,0.0489656,0.0106413,1.093510402,0.158,0.121,1.065,12.14,-0.138,2
Lionel Primary School,102493,Hounslow,E01002562,Hounslow 003A,-0.295785982,51.49374806,Primary,Community school,Not applicable,Mixed,No religious character,534,280,255,1.1,19.6,0.7,0.247,0.86,0.0590812,0.0188038,1.684755826,0.191,0.118,1.124,17.644,0.27,1
Marlborough Primary School,102494,Hounslow,E01002682,Hounslow 014D,-0.327674245,51.47895545,Primary,Community school,Not applicable,Mixed,No religious character,727,370,355,1,20.3,0.448,0.134,0.84,0.062378,0.0192712,1.014183373,0.098,0.062,0.621,9.45,-0.294,2
Norwood Green Infant and Nursery School,102496,Hounslow,E01002631,Hounslow 004E,-0.380134307,51.492857,Primary,Community school,Not applicable,Mixed,No religious character,444,235,210,1.1,18,0.857,0.209,NA,0.0678998,0.0188949,NA,0.178,0.092,0.322,11.339,-0.293,2
